teff logg z mg ca
5070 4.12 -0.154 0.78 -0.023
5292 4.45 -0.863 -0.081 0.158
5516 4.27 0.042 0.514 0.517
5693 4.5 0.195 0.306 0.06
5957 4.34 -0.178 0.751 -0.119
5273 4.62 -0.851 -0.087 0.491
5668 4.02 -0.123 0.594 0.728
5496 4.92 -0.447 0.16 0.049
5285 4.27 -0.421 0.504 0.534
5905 4.25 0.017 0.544 0.655
5278 4.66 0.02 0.724 -0.173
5799 4.18 0.314 0.076 0.695
5968 4.09 -0.14 -0.193 0.123
5501 4.27 -0.271 0.08 0.144
5692 4.28 -0.968 -0.067 0.195
5499 4.12 -0.813 0.327 0.44
5589 4.59 -0.992 0.34 -0.034
5151 4.12 -0.966 -0.078 0.408
5274 4.72 -0.61 -0.139 0.377
5205 4.99 -0.3 0.515 0.643
5247 4.52 -0.921 0.661 0.27
5100 4.05 -0.328 0.136 -0.147
5954 4.36 -0.367 -0.175 0.584
5677 4.9 0.075 0.657 0.436
5290 4.56 -0.668 -0.112 0.791
5282 4.97 0.313 0.064 0.511
5321 4.66 -0.091 0.54 -0.014
5691 4.29 -0.474 -0.102 -0.002
5776 4.65 -0.15 -0.042 0.083
5190 4.45 0.489 0.721 -0.027
5962 4.27 -0.506 0.642 0.726
5387 4.44 -0.812 -0.072 0.38
5279 4.62 0.238 0.416 0.1
5812 4.7 -0.023 0.147 0.485
5863 4.95 -0.656 -0.032 0.035
5524 4.97 -0.013 0.799 0.313
5170 4.77 -0.299 -0.147 0.438
5778 4.2 -0.877 0.465 -0.103
5000 4.79 -0.104 0.385 0.791
5935 4.96 -0.577 -0.047 0.039
5775 4.91 -0.999 0.057 0.609
5833 4.92 -0.066 -0.067 0.796
5581 4.61 0.419 0.033 0.168
5270 4.57 0.239 -0.139 0.033
5360 4.06 -0.805 -0.005 -0.094
5921 4.77 0.301 0.544 0.532
5906 4.11 0.113 0.402 0.168
5031 4.63 -0.507 0.099 0.388
5009 4.08 -0.598 0.459 0.448
5381 4.5 0.231 0.197 0.76
5529 4.92 -0.479 0.103 0.334
5958 4.25 -0.206 0.573 0.625
5071 4.06 -0.191 0.548 0.137
5394 4.6 -0.816 0.598 0.516
5867 4.13 -0.016 0.659 -0.07
5339 4.91 -0.282 0.407 0.371
5605 4.43 0.024 0.291 0.547
5595 4.46 0.056 0.05 0.158
5650 4.14 -0.378 0.335 0.183
5711 4.88 0.11 0.351 0.322
5545 4.51 -0.252 -0.043 0.162
5345 4.33 -0.09 0.024 0.697
5919 4.46 -0.153 -0.072 0.448
5556 4.28 -0.326 0.434 0.057
5848 4.92 -0.046 0.233 0.412
5114 4.18 -0.33 0.368 0.23
5975 4.34 0.017 -0.194 -0.192
5721 4.96 0.365 -0.198 0.388
5265 4.02 0.11 0.764 0.474
5649 4.08 0.493 0.73 0.17
5616 4.33 -0.007 -0.002 0.389
5762 4.73 -0.426 0.133 -0.17
5289 4.4 -0.886 -0.077 -0.088
5307 4.34 0.335 0.283 0.753
5142 4.44 0.126 0.307 0.645
5895 4.74 -0.906 0.61 0.566
5940 4.88 -0.327 0.173 0.167
5210 4.87 -0.169 0.328 -0.069
5136 4.94 -0.398 0.042 0.388
5770 4.8 -0.162 -0.028 0.587
5436 4.96 0.341 0.504 0.213
5619 4.21 -0.165 0.417 0.111
5058 4.93 -0.444 0.15 -0.12
5560 4.79 0.092 -0.087 0.564
5703 4.89 -0.545 0.522 0.317
5996 4.51 -0.194 0.576 0.548
5574 4.43 0.167 0.643 -0.104
5478 4.99 0.361 0.168 0.024
5821 4.25 -0.618 0.664 0.327
5390 4.64 0.14 0.226 0.157
5399 4.12 0.302 0.261 0.431
5687 4.18 -0.459 0.392 0.349
5498 4.97 -0.244 0.446 0.741
5782 4.79 0.196 0.652 0.314
5165 4.91 -0.834 0.055 0.628
5754 4.15 -0.552 0.151 0.171
5731 4.46 -0.048 -0.127 0.626
5577 4.52 0.382 0.52 0.413
5164 4.16 -0.744 0.784 -0.034
5111 4.79 -0.995 0.524 0.56
5580 4.2 0.471 0.328 0.524
5481 4.98 -0.313 0.674 0.315
5878 4.84 -0.139 0.613 0.483
5902 4.54 -0.495 0.687 0.073
5391 4.74 -0.775 -0.084 0.797
5935 4.44 -0.337 0.668 0.185
5299 4.24 0.312 -0.194 -0.039
5458 4.96 -0.907 0.666 0.094
5366 4.88 0.35 -0.016 0.726
5149 4.5 -0.102 -0.11 0.025
5074 4.17 -0.881 -0.049 0.771
5435 4.7 0.403 0.427 -0.02
5990 4.44 -0.304 0.48 0.402
5138 4.64 -0.974 0.222 0.308
5492 4.22 -0.937 0.05 0.277
5214 4.25 0.116 0.369 -0.153
5239 4.82 0.486 0.292 0.63
5455 4.49 0.43 -0.032 -0.143
5487 4.59 -0.562 -0.112 0.603
5590 4.49 -0.77 0.041 0.527
5250 4.67 0.414 0.621 0.017
5435 4.51 -0.841 -0.058 0.279
5881 4.96 -0.401 -0.142 0.307
5199 4.39 -0.501 0.62 0.037
5613 4.4 -0.886 0.439 0.694
5652 4.4 0.351 -0.134 0.637
5464 4.88 0.087 0.16 0.104
5819 4.88 -0.263 0.288 0.151
5363 4.04 -0.745 -0.119 -0.156
5294 4.08 0.18 0.248 0.027
5392 4.06 0.395 0.671 0.702
5446 4.6 -0.326 0.373 0.717
5077 4.89 0.285 -0.005 0.795
5421 4.82 -0.252 0.417 0.014
5480 4.69 0.33 -0.17 0.374
5538 4.51 -0.819 -0.092 0.699
5595 4.78 -0.78 0.027 0.094
5600 4.72 -0.67 0.778 0.646
5126 4.46 0.085 -0.076 0.082
5746 4.01 -0.235 0.786 0.112
5981 4.33 -0.504 0.728 0.66
5505 4.28 -0.129 0.564 0.665
5677 4.24 0.137 -0.092 0.188
5526 4.26 -0.674 0.764 0.042
5641 4.09 -0.859 0.723 0.748
5359 4.54 -0.538 0.662 0.564
5281 4.37 -0.328 0.345 0.557
6000 4.48 -0.319 0.678 0.344
5910 4.01 -0.77 0.186 -0.141
5171 4.71 0.319 -0.108 0.149
5053 4.03 0.052 0.014 0.258
5408 4.19 0.252 0.643 -0.165
5424 4.76 0.399 0.236 0.756
5479 4.88 0.08 -0.123 0.619
5608 4.02 -0.343 0.594 0.222
5380 4.77 -0.169 0.015 0.644
5996 4.81 -0.438 0.272 0.279
5381 4.53 -0.036 0.089 0.654
5926 4.71 -0.796 0.174 0.588
5641 4.78 -0.557 0.278 0.711
5634 4.06 -0.053 0.722 0.765
5315 4.71 0.311 0.365 0.464
5319 4.87 0.098 0.403 -0.004
5210 4.6 0.239 0.093 0.164
5711 4.86 0.355 0.421 0.644
5803 4.24 -0.521 0.641 0.319
5514 4.42 0.095 0.417 0.328
5487 4.18 -0.694 0.062 0.691
5701 4.89 -0.095 0.016 0.77
5373 4.93 0.132 0.316 0.13
5323 4.47 0.382 0.688 0.667
5506 4.68 -0.772 0.425 0.549
5711 4.22 -0.327 -0.009 0.045
5715 4.37 0.078 0.133 0.786
5913 4.75 -0.884 0.398 0.191
5068 4.87 -0.889 0.262 -0.156
5307 4.96 -0.438 0.673 0.654
5107 4.99 -0.744 -0.083 -0.038
5022 4.22 -0.038 0.704 0.531
5985 4.04 -0.805 -0.065 0.325
5009 4.6 -0.514 -0.083 0.283
5101 4.73 -0.63 0.275 0.488
5223 4.6 -0.251 0.783 0.612
5687 4.39 0.281 -0.127 0.436
5681 4.39 -0.468 0.476 -0.195
5543 4.45 -0.106 0.277 -0.005
5520 4.16 -0.476 0.664 0.506
5135 4.37 -0.007 0.49 0.516
5421 4.06 -0.565 0.336 -0.093
5411 4.57 -0.764 0.567 0.187
5663 4.3 -0.24 0.621 0.567
5944 4.34 0.063 -0.135 0.481
5439 4.81 0.408 0.308 0.46
5952 4.86 0.215 -0.09 -0.043
5896 4.69 0.385 0.155 0.683
5749 4.43 -0.602 0.143 0.721
5874 4.25 0.046 0.017 0.046
5504 4.27 -0.019 0.124 0.382
5501 4.62 -0.695 0.473 0.576
5699 4.46 -0.783 0.002 0.671
5063 4.28 0.312 0.153 0.746
5084 4.18 -0.1 -0.143 -0.113
5789 4.66 -0.898 0.658 0.078
5504 4.37 0.097 0.44 0.437
5715 4.94 -0.162 0.454 -0.016
5925 4.29 0.275 0.162 0.133
5227 4.35 -0.346 -0.06 0.176
5265 4.47 0.451 0.676 0.057
5730 4.79 0.302 0.112 0.143
5525 4.2 -0.042 -0.126 0.314
5950 4.13 -0.819 0.453 0.422
5623 4.96 -0.754 0.213 0.472
5867 4.94 -0.657 -0.061 0.63
5421 4.05 -0.808 0.212 0.123
5514 4.26 0.034 -0.189 0.714
5537 4.77 -0.863 0.373 0.092
5042 4.65 -0.647 0.049 0.551
5827 4.78 -0.811 0.399 0.415
5201 4.08 -0.377 0.763 0.775
5187 4.25 -0.321 0.409 0.645
5598 4.23 -0.4 -0.099 0.689
5366 4.55 0.131 -0.157 0.213
5835 4.98 -0.106 0.342 0.034
5130 4.71 0.459 0.689 0.656
5870 4.17 0.462 0.364 0.229
5190 4.89 -0.185 -0.025 0.76
5749 4.17 -0.354 0.084 -0.026
5091 4.1 -0.889 0.135 0.2
5790 4.95 0.206 0.138 0.037
5604 4.55 -0.143 0.021 -0.119
5044 4.04 0.016 0.667 0.349
5013 4.76 0.326 -0.02 0.782
5749 4.26 -0.573 -0.164 0.551
5269 4.01 0.017 0.576 -0.017
5420 4.99 0.208 0.536 0.276
5307 4.04 -0.728 0.314 0.119
5424 4.73 -0.391 0.262 0.697
5606 4.79 -0.58 -0.142 0.471
5041 4.6 0.333 -0.002 0.019
5492 4.75 -0.876 -0.153 0.493
5943 4.21 -0.629 0.146 0.615
5595 4.9 0.309 0.264 0.177
5129 4.97 -0.982 0.002 0.162
5753 4.61 -0.342 0.404 0.41
5323 4.14 -0.932 0.5 -0.136
5325 4.14 0.0 0.493 0.166
5040 4.31 -0.789 -0.13 0.403
5651 4.05 -0.091 0.421 0.393
5849 4.33 -0.274 0.644 0.364
5108 4.11 -0.639 0.334 0.053
5827 4.31 -0.945 0.384 0.07
5611 4.71 0.487 0.495 -0.17
5358 4.22 0.46 0.014 0.096
5099 4.86 0.479 0.562 -0.181
5365 4.33 0.034 0.396 0.052
5562 4.32 -0.605 0.445 0.182
5955 4.34 0.077 0.474 0.477
5877 4.07 0.337 0.075 0.348
5067 4.92 -0.296 0.319 0.637
5787 4.58 -0.24 -0.09 0.482
5042 4.06 -0.441 0.618 0.056
5424 4.56 -0.108 0.599 0.568
5328 4.17 0.336 0.013 0.592
5597 4.98 0.008 0.242 0.079
5182 4.57 -0.304 0.353 0.408
5433 4.92 0.236 0.725 -0.0
5225 4.97 0.227 0.655 0.766
5145 4.68 0.18 0.778 0.165
5273 4.94 -0.704 0.255 -0.021
5253 4.57 0.138 -0.14 0.702
5852 4.5 -0.471 -0.144 0.396
5494 4.37 -0.115 0.741 -0.186
5202 4.08 -0.37 0.78 -0.122
5021 4.44 -0.264 -0.0 0.504
5031 4.6 0.454 0.536 -0.145
5547 4.74 -0.047 0.733 0.103
5233 4.13 -0.119 0.442 -0.139
5016 4.43 0.243 -0.166 0.182
5934 4.39 -0.937 0.611 0.442
5296 4.27 -0.15 0.164 -0.138
5712 4.23 -0.52 0.363 0.518
5632 4.74 -0.992 0.342 0.589
5369 4.56 0.261 0.371 0.266
5147 4.49 -0.067 0.141 -0.082
5912 4.47 0.432 0.758 0.775
5771 4.29 -0.209 -0.19 0.265
5739 4.5 0.339 -0.162 0.743
5973 4.98 0.489 -0.12 0.408
5771 4.34 -0.857 0.548 -0.052
5861 4.06 -0.89 -0.119 -0.157
5816 4.59 0.002 0.312 0.349
5140 4.28 -0.21 -0.112 0.601
5182 4.89 -0.099 -0.068 0.578
5558 4.3 0.088 0.154 0.285
5051 4.97 0.217 0.446 0.236
5524 4.63 0.102 0.12 0.073
5106 4.74 -0.639 0.399 0.199
5819 4.89 -0.854 0.077 0.236
5812 4.59 -0.015 0.715 0.395
5180 4.7 -0.03 0.168 0.223
5702 4.35 0.175 0.139 0.342
5069 4.54 -0.788 0.313 0.28
5799 4.19 -0.197 -0.194 -0.081
5504 4.96 -0.136 -0.129 0.08
5463 4.14 0.391 -0.135 0.76
5840 4.17 0.249 0.366 0.652
5537 4.32 0.132 0.515 -0.071
5419 4.63 -0.701 0.372 0.614
5549 4.73 -0.701 0.202 0.285
5682 4.19 0.039 0.219 0.322
5116 4.31 -0.315 -0.163 0.345
5877 4.53 0.127 0.756 0.489
5296 4.27 -0.431 0.688 0.251
5578 4.99 0.286 0.134 0.309
5260 4.55 0.324 0.07 0.181
5310 4.83 0.006 -0.005 0.5
5216 4.65 -0.958 -0.007 -0.037
5080 4.08 -0.777 0.245 0.369
5440 4.5 -0.602 0.385 0.197
5518 4.46 0.261 -0.089 -0.137
5321 4.31 -0.844 -0.031 0.147
5690 4.6 0.082 0.247 0.286
